Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
AKG01001,AKG Y10,,C-001,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AKG01003,AKG Y23 ,,C-001,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AKG01004,AKG Y40 ,,C-001,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AKG01005,AKG Y45 ,,C-001,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AKG01006,AKG Y55 ,,C-001,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AKG01007,AKG N20 ,,C-001,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AKG01008,AKG Y50 BT,,C-001,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AKG01009,AKG N30,,C-001,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AKG01010,AKG C7,,C-001,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AKG01012,AKG N25,,C-001,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AKG01019,AKG N20NC,,C-001,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AKG01020,AKG N60NC,,C-001,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AMP01002,AVR151S/230,,C-002,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AMP01003,AVR 161S/230,,C-002,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AMP01004,AVR 171S/230,,C-002,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AMP01006,DENON AVRX520BTBKE2,,C-002,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AMP01007,DENON AVRX1300WBKE2,,C-002,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AMP01011,DENON AVR3300WBKE2,,C-002,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AMP01012,DENON AVR4300HBKE2,,C-002,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AMP01013,DENON AVR6300HBKE2,,C-002,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AMP01017,AVR3700/230,,C-002,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AMP01018,AVR3770/230,,C-002,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
AMP01025,PMA720AEBK2,,C-002,1,1,1,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
