Code,Name,Image,ac_sale,ac_cost,ac_stock,ac_stock_adj,ac_cost_variant,ac_purchase
C-001,AKG,,,,,,,
C-002,Amplifer,,,,,,,
C-003,Anker,,,,,,,
C-004,AVR Professional Amplifier,,,,,,,
C-005,Bilkin Sockets,,,,,,,
C-006,Cable,,,,,,,
C-007,Cable&connector for revel,,,,,,,
C-008,Connector for revel,,,,,,,
C-009,Digital Processer,,,,,,,
C-010,Flash,,,,,,,
C-011,Headphone ,,,,,,,
C-012,Home Speaker,,,,,,,
C-013,I GO,,,,,,,
C-014,Jabra Headset,,,,,,,
C-015,JBL Portable,,,,,,,
C-016,JBL Professional,,,,,,,
C-017,Karaoke System,,,,,,,
C-018,Martin & Rush Light,,,,,,,
C-019,Micro SD,,,,,,,
C-020,Microphone,,,,,,,
C-021,Mixzer,,,,,,,
C-022,Mouse,,,,,,,
C-023,Philips,,,,,,,
C-024,Power Bank,,,,,,,
C-025,Power Switch,,,,,,,
C-026,Pro Cable,,,,,,,
C-027,Pro Connector,,,,,,,
C-028,Skullcandy ,,,,,,,
C-029,Spare Part,,,,,,,
C-030,Speaker,,,,,,,
C-031,Speaker Stand,,,,,,,
C-032,Table,,,,,,,
C-033,Z Others,,,,,,,
